cid,rhealth,raceth,fem,pfem,sprhealth,marstrain,simx,simy,marhappy
368,Good,nh-white,1,0,3,-.25,17.797094,5.2177796,.25
368,Good,nh-white,0,1,3,-.75,16.869318,4.2896214,.75
369,Good,nh-white,1,0,4,-1.25,18.856171,2.1911991,1.25
369,Very Good,nh-white,0,1,3,-.75,17.831228,5.7950358,.75
370,Very Good,nh-white,1,0,2,.5,20.748909,6.5529437,-.5
370,Fair,nh-white,0,1,4,-.75,15.563934,3.5554214,.75
374,Good,nh-white,1,0,3,-1.75,17.021914,-.25358874,1.75
374,Good,nh-white,0,1,3,-.25,16.633299,2.7169368,.25
375,Excellent,nh-white,1,0,3,-.75,21.080122,5.1307406,.75
375,Good,nh-white,0,1,5,-.75,16.23579,2.408608,.75
377,Very Good,nh-white,0,1,2,-1,20.382528,4.9049835,1
377,Fair,nh-white,1,0,4,.25,16.370842,3.4042904,-.25
378,Good,nh-white,1,1,2,-1.75,16.703596,3.1670372,1.75
378,Fair,nh-mixed,1,1,3,-1.5,12.826768,1.6508965,1.5
381,Very Good,nh-white,1,1,5,-1,20.267178,1.2658772,1
381,Excellent,nh-asian,1,1,4,-2,24.017311,2.8428369,2
382,Good,nh-white,1,0,4,-.25,15.413034,4.1859746,.25
382,Very Good,nh-white,0,1,3,-1.5,19.382929,6.5859227,1.5
385,Good,nh-white,0,0,3,.75,15.756869,2.5957172,-.75
385,Good,nh-white,0,0,3,-.5,17.499844,.8089267,.5
386,Very Good,nh-white,1,1,5,-1.75,19.704269,2.6843944,1.75
386,Excellent,nh-white,1,1,4,-1.75,22.504766,6.7183995,1.75
387,Good,nh-other,1,0,4,0,18.34479,3.668494,0
387,Very Good,hispanic,0,1,3,-.25,17.479708,3.1902151,.25
390,Good,nh-white,1,1,5,-1.75,17.484255,2.349514,1.75
390,Excellent,nh-black,1,1,3,0,23.940363,4.2364726,0
394,Good,nh-white,1,0,3,-.5,16.918526,4.0729585,.5
394,Good,nh-white,0,1,3,-.25,17.977253,2.6947927,.25
395,Very Good,nh-white,0,0,4,-1.5,21.21464,1.8463503,1.5
395,Very Good,nh-white,0,0,4,-.75,21.20932,4.8643126,.75
397,Good,nh-white,0,1,4,0,18.175257,4.5706563,0
397,Very Good,nh-white,1,0,3,-.75,18.960255,3.6868341,.75
398,Good,nh-white,1,1,3,-2,16.941395,4.0036759,2
398,Good,nh-white,1,1,3,-2,18.395994,5.7232585,2
399,Excellent,nh-white,0,1,3,-.75,24.051058,5.207006,.75
399,Good,nh-white,1,0,5,-1.25,17.006876,4.1174908,1.25
404,Very Good,nh-white,0,0,3,-1.75,21.041136,4.9497004,1.75
404,Good,nh-white,0,0,4,-1.25,17.328329,.78117162,1.25
