cid,rhealth,raceth,fem,pfem,sprhealth,marstrain
505,Good,nh-white,1,1,5,-1.75
506,Very Good,nh-white,1,1,4,-.75
506,Very Good,nh-white,1,1,4,-.25
507,Good,hispanic,1,1,4,-.25
507,Very Good,nh-black,1,1,3,-.25
508,Good,nh-white,1,1,3,-1.25
508,Good,nh-white,1,1,3,0
510,Good,nh-white,1,0,2,-1.25
510,Fair,nh-white,0,1,3,-1
511,Very Good,nh-white,1,0,4,-1.75
511,Very Good,nh-asian,0,1,4,-2
512,Good,nh-white,1,1,2,-.5
512,Fair,nh-white,1,1,3,-.5
513,Poor,nh-white,1,0,4,-.5
513,Very Good,nh-white,0,1,1,-.75
516,Good,nh-white,1,1,4,-2
516,Very Good,nh-white,1,1,3,-1.75
517,Poor,nh-white,1,0,3,.25
517,Good,nh-white,0,1,1,1.5
518,Good,nh-white,1,1,3,-1.5
518,Good,nh-white,1,1,3,.75
519,Very Good,nh-white,1,1,3,-1.5
519,Good,nh-white,1,1,4,-1.5
520,Fair,nh-white,1,1,3,-1.5
520,Good,nh-white,1,1,2,-1.25
522,Excellent,nh-white,1,1,3,-2
522,Good,nh-white,1,1,5,-2
523,Very Good,nh-white,1,1,3,-1.5
523,Good,nh-white,1,1,4,-1.25
525,Excellent,nh-white,1,1,4,-2
525,Very Good,nh-mixed,1,1,5,-.5
527,Good,nh-white,1,0,4,-1.25
527,Very Good,nh-white,0,1,3,-1
528,Very Good,nh-white,1,0,3,-1.5
528,Good,nh-white,0,1,4,-1.25
530,Very Good,nh-white,1,0,5,-1.5
530,Excellent,nh-white,0,1,4,-1
532,Very Good,nh-white,1,0,5,-1.75
532,Excellent,nh-white,0,1,4,-1.25
534,Good,nh-white,1,0,2,-1.75
534,Fair,nh-white,0,1,3,-1.5
535,Fair,nh-white,1,1,2,-1
535,Fair,nh-white,1,1,2,-1.75
536,Good,nh-white,0,0,3,-1.25
536,Good,nh-white,0,0,3,-1.75
537,Very Good,nh-white,1,1,4,-2
537,Very Good,nh-white,1,1,4,-2
538,Excellent,nh-white,1,1,4,-2
538,Very Good,nh-white,1,1,5,-2
540,Excellent,nh-white,0,0,4,-1.5
540,Very Good,nh-white,0,0,5,-2
541,Very Good,nh-white,1,1,4,-1.75
541,Very Good,nh-white,1,1,4,-2
542,Very Good,nh-white,1,1,3,-2
542,Good,nh-white,1,1,4,-2
544,Excellent,nh-asian,1,1,5,-.75
544,Excellent,nh-white,1,1,5,-1.75
546,Very Good,nh-white,0,0,5,-2
546,Excellent,nh-white,0,0,4,-1.5
548,Very Good,nh-white,1,1,3,-1
548,Good,nh-white,1,1,4,-2
549,Very Good,nh-white,1,1,2,-1.25
549,Fair,nh-white,1,1,4,-.25
550,Very Good,nh-white,0,0,3,-1.75
550,Good,nh-white,0,0,4,-1.25
551,Excellent,nh-asian,1,1,3,-1.5
551,Good,nh-mixed,1,1,5,-1.75
552,Excellent,nh-white,1,1,4,-1.25
552,Very Good,nh-white,1,1,5,-1.5
553,Good,nh-white,1,1,3,-2
553,Good,nh-white,1,1,3,-2
554,Poor,nh-white,1,0,3,-1.5
554,Good,nh-white,0,1,1,-.5
555,Very Good,nh-white,0,1,3,-1.75
555,Good,nh-mixed,1,0,4,-2
556,Very Good,nh-white,1,0,3,-.75
556,Good,nh-white,0,1,4,-.5
557,Good,nh-white,1,0,5,-1.5
557,Excellent,nh-white,0,1,3,-2
559,Excellent,nh-mixed,0,1,4,-2
559,Very Good,nh-white,1,0,5,-1.25
561,Very Good,nh-white,0,0,5,-2
561,Excellent,nh-white,0,0,4,-1.5
562,Good,nh-asian,0,0,4,-1
562,Very Good,nh-white,0,0,3,-.25
564,Excellent,nh-white,0,0,4,-1
564,Very Good,nh-white,0,0,5,-1
566,Excellent,nh-white,1,0,3,-1.75
566,Good,nh-white,0,1,5,-.75
567,Very Good,hispanic,0,0,3,-1.5
567,Good,nh-white,0,0,4,-.75
568,Excellent,nh-white,0,0,4,-1.25
568,Very Good,nh-white,0,0,5,-1.25
569,Good,nh-white,0,0,4,-1
569,Very Good,nh-white,0,0,3,-.75
570,Poor,nh-other,1,1,2,-.75
570,Fair,nh-white,1,1,1,0
572,Good,nh-white,0,1,4,-1
572,Very Good,nh-white,1,0,3,-1.25
573,Very Good,nh-white,1,1,3,-2
573,Good,nh-white,1,1,4,-.75
574,Good,nh-mixed,1,0,3,-2
574,Good,nh-white,0,1,3,-1.75
575,Very Good,nh-white,1,1,3,-1.5
575,Good,nh-white,1,1,4,0
576,Good,nh-other,1,1,4,.5
576,Very Good,nh-black,1,1,3,.25
577,Very Good,nh-white,0,0,3,0
577,Good,hispanic,0,0,4,-1
579,Very Good,nh-white,1,1,2,-1.75
579,Fair,nh-white,1,1,4,-.75
581,Fair,nh-white,1,0,1,.25
581,Poor,nh-white,0,1,2,-.5
582,Very Good,nh-black,1,1,3,-1.5
582,Good,nh-black,1,1,4,-.5
584,Good,nh-black,0,1,3,-1.5
584,Good,nh-other,1,0,3,-1
585,Good,nh-white,1,0,2,2
585,Fair,nh-white,0,1,3,.25
586,Good,nh-white,0,1,3,-1.25
586,Good,nh-white,1,0,3,-2
587,Very Good,nh-white,0,0,4,-1.75
587,Very Good,nh-white,0,0,4,-1.75
588,Fair,nh-white,1,0,3,-1.75
588,Good,nh-white,0,1,2,-1.75
589,Poor,nh-white,1,1,4,-.75
589,Very Good,nh-white,1,1,1,-1.25
590,Good,hispanic,1,1,3,-2
590,Good,nh-white,1,1,3,-2
593,Very Good,nh-white,1,1,5,-.5
593,Excellent,nh-white,1,1,4,-.75
594,Fair,nh-white,0,1,5,-1.25
594,Excellent,nh-asian,1,0,2,-1.75
597,Very Good,nh-white,1,1,3,-1
597,Good,nh-white,1,1,4,.25
598,Very Good,nh-asian,1,0,4,-1
598,Very Good,nh-white,0,1,4,-1.5
600,Good,nh-white,1,0,2,-1.5
600,Fair,nh-white,0,1,3,-1.75
601,Very Good,nh-white,1,1,3,-1.25
601,Good,nh-white,1,1,4,-2
602,Very Good,nh-white,1,1,4,-2
602,Very Good,nh-white,1,1,4,-1.5
603,Very Good,nh-white,1,1,2,-1.5
603,Fair,nh-white,1,1,4,-1.25
604,Excellent,nh-white,0,1,4,-1.5
604,Very Good,nh-white,1,0,5,-1.5
605,Good,nh-white,1,1,5,-2
605,Excellent,nh-white,1,1,3,-2
606,Excellent,nh-white,1,1,4,-1.25
606,Very Good,nh-black,1,1,5,0
609,Very Good,nh-white,0,0,4,-2
609,Very Good,nh-white,0,0,4,-2
611,Good,nh-white,0,1,4,.75
611,Very Good,nh-white,1,0,3,.75
612,Excellent,hispanic,0,1,4,-1.5
612,Very Good,nh-white,1,0,5,-1.25
614,Good,nh-white,1,1,3,-.75
614,Good,nh-white,1,1,3,-1.75
615,Good,nh-white,1,1,3,-1.5
615,Good,nh-white,1,1,3,.25
616,Very Good,nh-white,1,1,3,-1.75
616,Good,nh-white,1,1,4,-2
618,Very Good,nh-white,1,0,3,-1
618,Good,nh-white,0,1,4,-1.25
621,Very Good,nh-white,1,1,4,-1.5
621,Very Good,nh-mixed,1,1,4,-1.5
622,Good,hispanic,1,1,4,-1.75
622,Very Good,nh-white,1,1,3,-.75
623,Good,nh-white,0,0,5,-.75
623,Excellent,nh-white,0,0,3,-1.75
624,Good,nh-white,1,1,3,-.25
624,Good,nh-black,1,1,3,0
625,Good,nh-white,0,0,4,-1.25
625,Very Good,nh-white,0,0,3,-1
626,Very Good,nh-white,1,1,2,-1.75
626,Fair,nh-white,1,1,4,-1
627,Good,nh-white,1,1,2,-1.5
627,Fair,nh-white,1,1,3,-1.5
628,Good,nh-white,0,0,5,-1.5
628,Excellent,nh-white,0,0,3,-1
629,Good,nh-white,0,0,4,-2
629,Very Good,nh-white,0,0,3,-2
630,Excellent,nh-white,1,1,5,-.5
630,Excellent,nh-white,1,1,5,.25
631,Fair,nh-white,0,0,4,-1.5
631,Very Good,nh-white,0,0,2,.25
633,Good,nh-white,1,1,3,-1.75
633,Good,nh-white,1,1,3,-1.5
636,Excellent,nh-white,1,1,4,-2
636,Very Good,nh-white,1,1,5,-1.75
637,Good,nh-white,1,1,4,-1
637,Very Good,nh-white,1,1,3,-1.5
